Linux 6.12.0-89.el10.ppc64le (prodUsSouth4-76033065-538746-48524204989) 	08/21/25 	_ppc64le_	(192 CPU)

avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           1.39    0.00    0.27    0.01    0.04   98.29

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
dm-0          27179.56 2094023.39  1277.68   4.49    0.26    77.04 59541.14 3614684.30 41507.25  41.08    0.75    60.71 1060.41 797475.12    99.51   8.58    2.13   752.05    0.00    0.00   54.10 5708.09
dm-1           235.28  25991.37     0.01   0.01    3.01   110.47 25684.57 328535.13 11988.48  31.82    0.66    12.79  111.27 221303.86     0.33   0.30  100.11  1988.87    0.00    0.00   28.79 684.95
dm-10            7.09    370.09     0.00   0.00    0.32    52.17    3.16     50.85     0.00   0.00    1.85    16.09    0.08    588.55     0.00   0.00    0.00  7476.75    0.00    0.00    0.01   1.56
dm-11           20.37    655.44     0.00   0.00    0.28    32.18   41.74   1924.59     0.00   0.00    7.36    46.11    2.02  34278.98     0.00   0.00    0.28 16937.63    0.00    0.00    0.31   7.97
dm-2            32.45   4152.25     0.00   0.00    0.11   127.94    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00  73.11
dm-3           170.36  17685.58     0.00   0.00    3.98   103.81 37594.38 328535.13     0.00   0.00    0.26     8.74  111.60 221303.86     0.00   0.00  102.47  1982.97    0.00    0.00   22.05 713.29
dm-4           709.66   2844.14     0.00   0.00    0.16     4.01 8633.74  34534.94     0.00   0.00    0.24     4.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    2.17  33.68
dm-5          27552.08 2070193.80     0.00   0.00    0.26    75.14 92390.00 3578025.14     0.00   0.00    1.18    38.73 1159.91 797475.12     0.00   0.00    1.79   687.53    0.00    0.00  118.37 2204.45
dm-6          27552.08 2070193.80     0.00   0.00    0.26    75.14 92390.00 3578025.14     0.00   0.00    1.18    38.73 1159.91 797475.12     0.00   0.00    1.79   687.53    0.00    0.00  118.56 2205.73
dm-8             7.02    370.21     0.00   0.00    0.29    52.74    2.68     39.38     0.00   0.00    1.07    14.67    0.07    764.98     0.00   0.00    0.00 11553.82    0.00    0.00    0.00   0.82
dm-9             7.01    370.78     0.00   0.00    0.74    52.92    2.55     34.21     0.00   0.00    1.56    13.39    0.07    615.19     0.00   0.00    0.11  9089.39    0.00    0.00    0.01   0.16
loop0           31.17   3988.43     0.00   0.00    0.09   127.95    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.24
loop1           33.80   4166.23     0.00   0.00    0.13   123.25    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.41
loop2           33.50   4181.45     0.00   0.00    0.11   124.81    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.32
loop3           32.43   4150.38     0.00   0.00    0.04   127.97    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.05
loop4           32.47   4151.37     0.00   0.00    0.07   127.86    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.18
loop5            1.30    163.10     0.00   0.00    0.05   125.33    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sda              0.03      1.65     0.00   0.00    0.23    64.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sdb           6791.95 523180.50     0.00   0.00    0.23    77.03 15311.90 906039.35     0.00   0.00    0.61    59.17  265.41 199302.96     0.00   0.00    2.11   750.92    0.00    0.00   11.45 410.73
sdc              0.03      1.65     0.00   0.00    0.23    64.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sdd             58.84   6515.14     0.00   0.00    3.00   110.73 6422.47  82209.55     0.00   0.00    0.64    12.80   28.10  55301.65     0.00   0.00   99.37  1968.00    0.00    0.00    7.07 196.99
sde             58.94   6509.65     0.00   0.00    3.02   110.45 6421.23  82089.41     0.00   0.00    0.65    12.78   27.91  55323.90     0.00   0.00   99.63  1981.97    0.00    0.00    7.13 201.85
sdf              0.03      1.65     0.00   0.00    0.23    64.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sdg           6808.90 523587.89     0.00   0.00    0.23    76.90 15298.07 904035.87     0.00   0.00    0.61    59.09  265.51 199148.90     0.00   0.00    2.10   750.07    0.00    0.00   11.41 432.17
sdh              0.10      7.41     0.00   0.00    0.27    75.22    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sdi              0.10      7.41     0.00   0.00    0.25    75.22    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sdj           6795.74 523380.02     0.00   0.00    0.23    77.02 15270.00 903013.24     0.00   0.00    0.61    59.14  265.64 199564.93     0.00   0.00    2.10   751.27    0.00    0.00   11.45 387.13
sdk              0.09      7.04     0.00   0.00    0.26    74.74    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sdl              0.03      1.65     0.00   0.00    0.23    64.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sdm             58.85   6496.23     0.00   0.00    3.00   110.39 6420.83  82123.97     0.00   0.00    0.65    12.79   28.10  55342.79     0.00   0.00   98.67  1969.77    0.00    0.00    7.10 199.14
sdn             59.01   6496.00     0.00   0.00    2.98   110.08 6421.65  82112.20     0.00   0.00    0.64    12.79   28.15  55335.52     0.00   0.00   98.83  1966.01    0.00    0.00    7.05 194.92
sdo           6809.51 523880.96     0.00   0.00    0.23    76.93 15230.88 901595.84     0.00   0.00    0.61    59.20  265.53 199458.33     0.00   0.00    2.10   751.18    0.00    0.00   11.41 349.28
sdp              0.15     11.18     0.00   0.00    0.25    75.62    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sde              0.00      0.00     0.00   0.00    0.00     0.00    6.40     60.72     0.00   0.00    0.32     9.49    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.03
sdf              0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sdg              0.00      0.00     0.00   0.00    0.00     0.00    0.13      0.53     0.00   0.00    0.50     4.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sdh              0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sdi              0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sdj              0.00      0.00     0.00   0.00    0.00     0.00    0.17      1.20     0.00   0.00    0.60     7.20    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sdk              0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sdl              0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sdm              0.00      0.00     0.00   0.00    0.00     0.00    6.43     45.07     0.00   0.00    0.30     7.01    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.10
sdn              0.00      0.00     0.00   0.00    0.00     0.00    6.47     48.17     0.00   0.00    0.28     7.45    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sdo              0.00      0.00     0.00   0.00    0.00     0.00    0.13      0.67     0.00   0.00    0.75     5.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00
sdp              0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.00   0.00


avg-cpu:  %user   %nice %system %iowait  %steal   %idle
           3.58    0.00    0.37    0.01    0.10   95.95

Device            r/s     rkB/s   rrqm/s  %rrqm r_await rareq-sz     w/s     wkB/s   wrqm/s  %wrqm w_await wareq-sz     d/s     dkB/s   drqm/s  %drqm d_await dareq-sz     f/s f_await  aqu-sz  %util
dm-0             0.60     12.67     0.00   0.00    0.17    21.11    1.83     71.87     1.03  36.05    3.22    39.20    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.01   0.07
dm-1             0.07      0.27     0.00   0.00    0.00     4.00   25.67    221.62    12.13  32.10    0.42     8.63    0.00      0.00     0.00   0.00    0.00     0.00    0.00    0.00    0.01   0.70
