procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  0      0 11780800      0 3125760    0    0 2151436 3943248 6718175   11  1  0 98  0  0  0
 1  0      0 11468800      0 3228864    0    0    94  3776 18948 110036 30 19 51  0  1  0
163  0      0 9165952      0 3129792    0    0 59149 67339 20258 78120  0  0 100  0  0  0
128  0      0 6341056      0 3182144    0    0  5736  3553 9401 15605 86 13  1  0  0  0
105  0      0 6920896      0 3175488    0    0  5601  3798 11977 20710 82 16  1  0  0  0
46  0      0 9867520      0 3161216    0    0   265  3716 8692 15292 87 13  1  0  0  0
11  0      0 11283008      0 3159040    0    0    77  1845 7930 16783 92  7  0  0  0  0
 1  0      0 11606912      0 3159296    0    0    30   432 6508 10163 39  2 60  0  0  0
 1  0      0 11611456      0 3159296    0    0     0   221 6191 9430 25  0 75  0  0  0
 0  0      0 11697408      0 3159296    0    0    13   294 5320 8255  4  0 96  0  0  0
