procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0      0 13357124      0 1920996    0    0 10781008 24886003 12692369    1  2  0 98  0  0  0
 1  0      0 13132532      0 1929352    0    0     0  5221 36935 99762 47 13 39  0  1  0
11  0      0 12383820      0 1922712    0    0    47   656 12534 31946 69  7 22  0  2  0
 9  0      0 12521904      0 1923300    0    0    47   585 4759 11365 91  6  0  0  2  0
10  0      0 12089848      0 1923556    0    0     8   500 2170 6454 91  7  0  0  2  0
 9  0      0 12027216      0 1923620    0    0    14  1129 2487 5472 88  9  0  0  2  0
 1  0      0 13041652      0 1923748    0    0     1   876 3735 7626 76  8 14  0  1  0
 1  0      0 13034560      0 1923756    0    0     0    66  497  791 25  0 75  0  1  0
 1  0      0 13033716      0 1923760    0    0     0    52  538  796 24  0 75  0  1  0
 1  0      0 13030248      0 1923764    0    0     0    66  482  680 24  0 75  0  1  0
