procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  2      0 12166460 134996 3508536    0    0  4168 11858 3451    6 47  8 40  5  0  0
 1  0      0 11929276 135436 3522608    0    0     3  5751 7770 18788 62 16 23  0  0  0
 3  0      0 11775136 140988 3516256    0    0    60   658 20428 40279 58 13 29  0  0  0
 5  0      0 11481856 167896 3519712    0    0     7   250 4662 4115 90  8  2  0  0  0
 4  0      0 11207120 168420 3538896    0    0   439   495 4844 11612 88 12  0  0  0  0
 5  0      0 11213524 168512 3540960    0    0     5   102 4808 5777 88 12  0  0  0  0
 4  0      0 11173088 168580 3543280    0    0     3   608 4713 4781 85 13  1  0  0  0
 3  0      0 11137668 169344 3555464    0    0   347   485 4711 5691 91  8  1  0  0  0
 5  0      0 10951520 169420 3557724    0    0     6  1015 4735 4671 89 11  0  0  0  0
 1  0      0 11889476 169464 3557816    0    0     0   272 1786  929 32  2 66  0  0  0
